title,Released_Year,runtime,genre,rating,gross,director,lead_actor,lead_actor_rank,lead_actor_total_revenue,lead_actor_avg_revenue,budget,release_date,release_month,release_season
The Bourne Ultimatum,2007,115,Action,8,"227,471,070.00",Paul Greengrass,Matt Damon,32,"7,316,585,246.00","159,056,201.00","130,000,000.00",8/3/2007,8,Summer
Casino Royale,2006,144,Action,8,"167,445,960.00",Martin Campbell,Daniel Craig,76,"4,864,395,250.00","286,140,897.00","102,000,000.00",11/17/2006,11,Fall
Mar adentro,2004,126,Biography,8,"2,086,345.00",Alejandro Amenábar,Javier Bardem,141,"3,414,920,852.00","155,223,675.00","13,300,000.00",12/17/2004,12,Winter
Cinderella Man,2005,144,Biography,8,"61,649,911.00",Ron Howard,Russell Crowe,100,"4,199,997,044.00","97,674,350.00","88,000,000.00",6/3/2005,6,Summer
Big Fish,2003,125,Adventure,8,"66,257,002.00",Tim Burton,Ewan McGregor,54,"5,830,848,951.00","153,443,393.00","70,000,000.00",12/10/2003,12,Winter
The Incredibles,2004,115,Animation,8,"261,441,092.00",Brad Bird,Craig T. Nelson,282,"1,894,521,169.00","631,507,056.00","92,000,000.00",10/22/2004,10,Fall
Magnolia,1999,188,Drama,8,"22,455,976.00",Paul Thomas Anderson,Tom Cruise,7,"12,091,138,918.00","274,798,612.00","37,000,000.00",12/17/1999,12,Winter
Sling Blade,1996,135,Drama,8,"24,475,416.00",Billy Bob Thornton,Billy Bob Thornton,1232,"341,166,341.00","17,058,317.00","4,833,610.00",11/20/1996,11,Fall
Groundhog Day,1993,101,Comedy,8,"70,906,973.00",Harold Ramis,Bill Murray,119,"3,739,803,793.00","101,075,778.00","14,600,000.00",2/12/1993,2,Winter
JFK,1991,189,Drama,8,"70,405,498.00",Oliver Stone,Kevin Costner,144,"3,318,085,321.00","79,002,031.00","40,000,000.00",12/20/1991,12,Winter
Dances with Wolves,1990,181,Adventure,8,"184,208,848.00",Kevin Costner,Kevin Costner,144,"3,318,085,321.00","79,002,031.00","19,000,000.00",11/9/1990,11,Fall
Do the Right Thing,1989,120,Comedy,8,"27,545,445.00",Spike Lee,Danny Aiello,2516,"42,749,976.00","7,124,996.00","6,000,000.00",6/30/1989,6,Summer
Rain Man,1988,133,Drama,8,"178,800,000.00",Barry Levinson,Dustin Hoffman,166,"2,895,371,839.00","87,738,541.00","25,000,000.00",12/16/1988,12,Winter
The Princess Bride,1987,98,Adventure,8,"30,857,814.00",Rob Reiner,Cary Elwes,1662,"195,007,818.00","13,000,521.00","15,000,000.00",9/25/1987,9,Fall
The Terminator,1984,107,Action,8,"38,400,000.00",James Cameron,Arnold Schwarzenegger,88,"4,475,397,168.00","124,316,588.00","6,400,000.00",10/26/1984,10,Fall
Gandhi,1982,191,Biography,8,"52,767,889.00",Richard Attenborough,Ben Kingsley,139,"3,440,389,491.00","143,349,562.00","22,000,000.00",12/8/1982,12,Winter
Jaws,1975,124,Adventure,8,"260,000,000.00",Steven Spielberg,Roy Scheider,755,"730,379,945.00","182,594,986.00","12,000,000.00",6/20/1975,6,Summer
Papillon,1973,151,Biography,8,"53,267,000.00",Franklin J. Schaffner,Steve McQueen,1208,"353,667,502.00","23,577,833.00","13,500,000.00",12/16/1973,12,Winter
Butch Cassidy and the Sundance Kid,1969,110,Biography,8,"102,308,889.00",George Roy Hill,Paul Newman,362,"1,531,030,431.00","47,844,701.00","6,000,000.00",10/24/1969,10,Fall
Planet of the Apes,1968,112,Adventure,8,"33,395,426.00",Franklin J. Schaffner,Charlton Heston,1493,"243,551,718.00","30,443,965.00","5,800,000.00",7/27/2001,7,Summer
The Sound of Music,1965,172,Biography,8,"163,214,286.00",Robert Wise,Julie Andrews,683,"827,260,005.00","55,150,667.00","8,200,000.00",1/1/1965,1,Winter
Doctor Zhivago,1965,197,Drama,8,"111,722,000.00",David Lean,Omar Sharif,1285,"319,690,686.00","63,938,137.00","11,000,000.00",12/22/1965,12,Winter
Knives Out,2019,130,Comedy,7.9,"165,359,751.00",Rian Johnson,Daniel Craig,76,"4,864,395,250.00","286,140,897.00","40,000,000.00",11/27/2019,11,Fall
Marriage Story,2019,137,Comedy,7.9,"2,000,000.00",Noah Baumbach,Adam Driver,73,"4,970,608,193.00","236,695,628.00","18,000,000.00",11/27/2019,11,Fall
Captain Fantastic,2016,118,Comedy,7.9,"5,875,006.00",Matt Ross,Viggo Mortensen,122,"3,696,827,333.00","142,185,667.00","5,000,000.00",7/8/2016,7,Summer
Thor: Ragnarok,2017,130,Action,7.9,"315,058,289.00",Taika Waititi,Chris Hemsworth,8,"12,086,145,082.00","431,648,039.00","180,000,000.00",10/25/2017,10,Fall
Nightcrawler,2014,117,Crime,7.9,"32,381,218.00",Dan Gilroy,Jake Gyllenhaal,167,"2,870,876,978.00","89,714,906.00","8,500,000.00",10/31/2014,10,Fall
Jojo Rabbit,2019,108,Comedy,7.9,"349,555.00",Taika Waititi,Roman Griffin Davis,2807,"33,370,906.00","16,685,453.00","14,000,000.00",10/18/2019,10,Fall
Arrival,2016,116,Drama,7.9,"100,546,139.00",Denis Villeneuve,Amy Adams,172,"2,799,496,840.00","133,309,373.00","47,000,000.00",11/9/2016,11,Fall
X-Men: Days of Future Past,2014,132,Action,7.9,"233,921,534.00",Bryan Singer,Patrick Stewart,186,"2,594,860,178.00","152,638,834.00","200,000,000.00",5/21/2014,5,Spring
The Artist,2011,100,Comedy,7.9,"44,671,682.00",Michel Hazanavicius,Jean Dujardin,1167,"374,130,813.00","46,766,352.00","16,000,000.00",10/12/2011,10,Fall
Edge of Tomorrow,2014,113,Action,7.9,"100,206,256.00",Doug Liman,Tom Cruise,7,"12,091,138,918.00","274,798,612.00","178,000,000.00",5/28/2014,5,Spring
The Irishman,2019,209,Biography,7.9,"7,000,000.00",Martin Scorsese,Robert De Niro,68,"5,178,834,488.00","67,257,591.00","159,000,000.00",11/1/2019,11,Fall
Un prophète,2010,155,Crime,7.9,"2,084,637.00",Jacques Audiard,Tahar Rahim,2403,"46,217,867.00","4,201,624.00","13,000,000.00",2/26/2010,2,Winter
Moon,2009,97,Drama,7.9,"5,009,677.00",Duncan Jones,Sam Rockwell,359,"1,540,484,369.00","53,120,151.00","5,000,000.00",6/12/2009,6,Summer
District 9,2009,112,Action,7.9,"115,646,235.00",Neill Blomkamp,Sharlto Copley,1144,"385,228,371.00","48,153,546.00","30,000,000.00",8/14/2009,8,Summer
The Wrestler,2008,109,Drama,7.9,"26,236,603.00",Darren Aronofsky,Mickey Rourke,428,"1,383,738,498.00","43,241,828.00","6,000,000.00",12/17/2008,12,Winter
Star Trek,2009,127,Action,7.9,"257,730,019.00",J.J. Abrams,Chris Pine,120,"3,724,181,100.00","169,280,959.00","140,000,000.00",5/8/2009,5,Spring
